Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2017-12-04	Mid		Mon	2	WD	Dec
2017-12-03	Mid		Sun	1	WD	Dec
2017-12-02	Mid		Sat	7	WE	Dec
2017-12-01	Mid		Fri	6	WE	Dec
2017-11-30	High		Thu	5	WE	Nov
2017-11-29	High	BIG 5	Wed	4	WD	Nov
2017-11-28	High	BIG 5	Tue	3	WD	Nov
2017-11-27	High	BIG 5	Mon	2	WD	Nov
2017-11-26	High	BIG 5	Sun	1	WD	Nov
2017-11-25	High		Sat	7	WE	Nov
2017-11-24	High		Fri	6	WE	Nov
2017-11-23	High		Thu	5	WE	Nov
2017-11-22	High		Wed	4	WD	Nov
2017-11-21	High		Tue	3	WD	Nov
2017-11-20	High		Mon	2	WD	Nov
2017-11-19	High		Sun	1	WD	Nov
2017-11-18	High		Sat	7	WE	Nov
2017-11-17	High		Fri	6	WE	Nov
2017-11-16	High	AirShow	Thu	5	WE	Nov
2017-11-15	High	AirShow	Wed	4	WD	Nov
2017-11-14	High	AirShow	Tue	3	WD	Nov
2017-11-13	High	AirShow	Mon	2	WD	Nov
2017-11-12	High	AirShow	Sun	1	WD	Nov
2017-11-11	High		Sat	7	WE	Nov
2017-11-10	High		Fri	6	WE	Nov
2017-11-09	High		Thu	5	WE	Nov
2017-11-08	High		Wed	4	WD	Nov
2017-11-07	High		Tue	3	WD	Nov
2017-11-06	High		Mon	2	WD	Nov
2017-11-05	High		Sun	1	WD	Nov
2017-11-04	High		Sat	7	WE	Nov
2017-11-03	High		Fri	6	WE	Nov
2017-11-02	High		Thu	5	WE	Nov
2017-11-01	High		Wed	4	WD	Nov
2017-10-31	Low		Tue	3	WD	Oct
2017-10-30	Low		Mon	2	WD	Oct
2017-10-29	Low		Sun	1	WD	Oct
2017-10-28	Low		Sat	7	WE	Oct
2017-10-27	Low		Fri	6	WE	Oct
2017-10-26	Low		Thu	5	WE	Oct
2017-10-25	Low		Wed	4	WD	Oct
2017-10-24	Low		Tue	3	WD	Oct
2017-10-23	Low		Mon	2	WD	Oct
2017-10-22	Low		Sun	1	WD	Oct
2017-10-21	Low		Sat	7	WE	Oct
2017-10-20	Low		Fri	6	WE	Oct
2017-10-19	Low		Thu	5	WE	Oct
2017-10-18	Low		Wed	4	WD	Oct
2017-10-17	Low		Tue	3	WD	Oct
2017-10-16	Low		Mon	2	WD	Oct
2017-10-15	Low		Sun	1	WD	Oct
2017-10-14	Low		Sat	7	WE	Oct
2017-10-13	Low		Fri	6	WE	Oct
2017-10-12	Low	GITEX	Thu	5	WE	Oct
2017-10-11	Low	GITEX	Wed	4	WD	Oct
2017-10-10	Low	GITEX	Tue	3	WD	Oct
2017-10-09	Low	GITEX	Mon	2	WD	Oct
2017-10-08	Low	GITEX	Sun	1	WD	Oct
2017-10-07	Low		Sat	7	WE	Oct
2017-10-06	Low		Fri	6	WE	Oct
2017-10-05	Low		Thu	5	WE	Oct
2017-10-04	Low		Wed	4	WD	Oct
2017-10-03	Low		Tue	3	WD	Oct
2017-10-02	Low		Mon	2	WD	Oct
2017-10-01	Low		Sun	1	WD	Oct
2017-09-30	Low		Sat	7	WE	Sep
2017-09-29	Low		Fri	6	WE	Sep
2017-09-28	Low		Thu	5	WE	Sep
2017-09-27	Low		Wed	4	WD	Sep
2017-09-26	Low		Tue	3	WD	Sep
2017-09-25	Low		Mon	2	WD	Sep
2017-09-24	Low		Sun	1	WD	Sep
2017-09-23	Low		Sat	7	WE	Sep
2017-09-22	Low		Fri	6	WE	Sep
2017-09-21	Low		Thu	5	WE	Sep
2017-09-20	Low		Wed	4	WD	Sep
2017-09-19	Low		Tue	3	WD	Sep
2017-09-18	Low		Mon	2	WD	Sep
2017-09-17	Low		Sun	1	WD	Sep
2017-09-16	Low		Sat	7	WE	Sep
2017-09-15	Low		Fri	6	WE	Sep
2017-09-14	Low		Thu	5	WE	Sep
2017-09-13	Low		Wed	4	WD	Sep
2017-09-12	Low		Tue	3	WD	Sep
2017-09-11	Low		Mon	2	WD	Sep
2017-09-10	Low		Sun	1	WD	Sep
2017-09-09	Low		Sat	7	WE	Sep
2017-09-08	Low		Fri	6	WE	Sep
2017-09-07	Low		Thu	5	WE	Sep
2017-09-06	Low		Wed	4	WD	Sep
2017-09-05	Low		Tue	3	WD	Sep
2017-09-04	Low		Mon	2	WD	Sep
2017-09-03	Low	 EID AL ADHA 	Sun	1	WD	Sep
2017-09-02	Low	 EID AL ADHA 	Sat	7	WE	Sep
2017-09-01	Low	 EID AL ADHA 	Fri	6	WE	Sep
2017-08-31	Low	 EID AL ADHA 	Thu	5	WE	Aug
2017-08-30	Low		Wed	4	WD	Aug
2017-08-29	Low		Tue	3	WD	Aug
2017-08-28	Low		Mon	2	WD	Aug
2017-08-27	Low		Sun	1	WD	Aug
2017-08-26	Low		Sat	7	WE	Aug
2017-08-25	Low		Fri	6	WE	Aug
2017-08-24	Low		Thu	5	WE	Aug
2017-08-23	Low		Wed	4	WD	Aug
2017-08-22	Low		Tue	3	WD	Aug
2017-08-21	Low		Mon	2	WD	Aug
2017-08-20	Low		Sun	1	WD	Aug
2017-08-19	Low		Sat	7	WE	Aug
2017-08-18	Low		Fri	6	WE	Aug
2017-08-17	Low		Thu	5	WE	Aug
2017-08-16	Low		Wed	4	WD	Aug
2017-08-15	Low		Tue	3	WD	Aug
2017-08-14	Low		Mon	2	WD	Aug
2017-08-13	Low		Sun	1	WD	Aug
2017-08-12	Low		Sat	7	WE	Aug
2017-08-11	Low		Fri	6	WE	Aug
2017-08-10	Low		Thu	5	WE	Aug
